"employeenumber","lastname","firstname","reportsto","jobtitle","level"
1002,"Murphy","Diane",NULL,"President",1
1056,"Patterson","Mary",1002,"VP Sales",2
1076,"Firrelli","Jeff",1002,"VP Marketing",2
1088,"Patterson","William",1056,"Sales Manager (APAC)",3
1102,"Bondur","Gerard",1056,"Sale Manager (EMEA)",3
1143,"Bow","Anthony",1056,"Sales Manager (NA)",3
1621,"Nishi","Mami",1056,"Sales Rep",3
1165,"Jennings","Leslie",1143,"Sales Rep",4
1166,"Thompson","Leslie",1143,"Sales Rep",4
1188,"Firrelli","Julie",1143,"Sales Rep",4
1216,"Patterson","Steve",1143,"Sales Rep",4
1286,"Tseng","Foon Yue",1143,"Sales Rep",4
1323,"Vanauf","George",1143,"Sales Rep",4
1337,"Bondur","Loui",1102,"Sales Rep",4
1370,"Hernandez","Gerard",1102,"Sales Rep",4
1401,"Castillo","Pamela",1102,"Sales Rep",4
1501,"Bott","Larry",1102,"Sales Rep",4
1504,"Jones","Barry",1102,"Sales Rep",4
1611,"Fixter","Andy",1088,"Sales Rep",4
1612,"Marsh","Peter",1088,"Sales Rep",4
1619,"King","Tom",1088,"Sales Rep",4
1625,"Kato","Yoshimi",1621,"Sales Rep",4
1702,"Gerard","Martin",1102,"Sales Rep",4
